City,Lat,Long,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Kapaa,22.08,-159.32,80.6,69,1,5.82,US,1606863449
Desaguadero,-16.57,-69.04,52.38,64,97,6.08,PE,1606863657
Bredasdorp,-34.53,20.04,51.8,76,81,5.82,ZA,1606863448
Punta Arenas,-53.15,-70.92,41.0,63,75,32.21,CL,1606863657
Port Alfred,-33.59,26.89,61.63,70,75,20.36,ZA,1606863657
Cabo San Lucas,22.89,-109.91,77.0,53,5,6.93,MX,1606863462
Dikson,73.51,80.55,30.97,99,100,25.34,RU,1606863657
Saint Paul Harbor,57.79,-152.41,44.6,81,90,13.42,US,1606863657
Bluff,-46.6,168.33,70.0,32,78,13.0,NZ,1606863631
Yellowknife,62.46,-114.35,24.8,100,75,20.8,CA,1606863657
Vaini,-21.2,-175.2,80.6,74,75,9.17,TO,1606863658
Paamiut,61.99,-49.67,22.28,89,75,10.36,GL,1606863658
Kloulklubed,7.04,134.26,75.2,94,90,3.36,PW,1606863658
Butaritari,3.07,172.79,81.43,79,98,10.63,KI,1606863452
Jamestown,42.1,-79.24,30.0,92,90,14.99,US,1606863617
Dhūri,30.37,75.87,59.94,31,0,4.47,IN,1606863658
Ingham,42.6,-84.38,35.01,64,1,10.29,US,1606863658
Barrow,71.29,-156.79,3.2,84,90,23.04,US,1606863659
Upernavik,72.79,-56.15,10.06,89,99,10.02,GL,1606863659
Hasaki,35.73,140.83,48.2,76,75,10.29,JP,1606863460
Laibin,23.7,109.27,55.22,62,100,10.67,CN,1606863659
Tasiilaq,65.61,-37.64,19.4,62,95,25.28,GL,1606863659
Aswān,24.09,32.91,57.76,35,0,6.22,EG,1606863659
Pochutla,15.74,-96.47,86.0,48,75,11.41,MX,1606863659
Bethel,41.37,-73.41,43.0,60,90,11.41,US,1606863659
Hithadhoo,-0.6,73.08,82.04,73,94,12.15,MV,1606863659
Menongue,-14.66,17.69,63.79,94,100,3.27,AO,1606863659
Pangnirtung,66.15,-65.71,6.8,65,75,8.05,CA,1606863659
Lüderitz,-26.65,15.16,64.4,55,0,23.04,NA,1606863659
Hilo,19.73,-155.09,80.6,57,1,8.05,US,1606863660
Busselton,-33.65,115.33,57.0,75,28,4.0,AU,1606863654
Hobart,-42.88,147.33,57.0,46,40,23.04,AU,1606863478
Meulaboh,4.14,96.13,76.46,88,68,3.78,ID,1606863660
Mataura,-46.19,168.86,70.0,32,97,13.0,NZ,1606863660
Rikitea,-23.12,-134.97,75.69,68,59,5.48,PF,1606863660
Ushuaia,-54.8,-68.3,39.2,86,40,20.8,AR,1606863660
Bhachāu,23.28,70.35,74.71,32,0,6.35,IN,1606863660
Sisimiut,66.94,-53.67,17.47,89,100,2.68,GL,1606863660
Laas,46.62,10.7,30.99,86,0,2.24,IT,1606863660
Clyde River,70.47,-68.59,15.8,72,75,19.46,CA,1606863660
Portage,41.17,-81.2,28.99,96,100,7.0,US,1606863508
Port Elizabeth,-33.92,25.57,57.2,93,75,13.87,ZA,1606863660
Norman Wells,65.28,-126.83,14.0,85,20,3.36,CA,1606863661
Beidao,34.57,105.89,29.08,94,100,4.79,CN,1606863661
Katsuura,35.13,140.3,50.0,66,75,14.99,JP,1606863507
Olafsvik,64.89,-23.71,36.19,91,95,10.54,IS,1606863661
Saint George,37.1,-113.58,57.2,19,1,8.03,US,1606863551
Kiryat Gat,31.61,34.76,57.2,82,0,4.7,IL,1606863661
Qaanaaq,77.48,-69.36,-0.74,86,100,6.98,GL,1606863661
Bahía Solano,6.23,-77.4,78.01,85,100,7.16,CO,1606863661
Mainpuri,27.23,79.02,60.78,32,73,4.59,IN,1606863661
Isla Vista,34.41,-119.86,73.99,46,0,1.99,US,1606863662
Panjāb,34.39,67.02,21.52,84,0,2.44,AF,1606863662
Anshun,26.25,105.93,41.54,92,100,7.25,CN,1606863662
Ilulissat,69.22,-51.1,19.4,62,100,9.17,GL,1606863457
Cape Town,-33.93,18.42,62.01,63,40,19.46,ZA,1606863662
Rocha,-34.48,-54.33,62.02,79,41,10.31,UY,1606863662
Khatanga,71.97,102.5,30.43,98,100,24.38,RU,1606863662
Mackay,-21.15,149.2,84.2,66,75,8.05,AU,1606863662
Airai,-8.93,125.41,68.49,84,58,0.43,TL,1606863662
Castro,-24.79,-50.01,65.16,94,20,5.23,BR,1606863452
Muisne,0.6,-80.03,75.34,85,71,9.98,EC,1606863663
Provideniya,64.38,-173.3,17.6,61,0,15.66,RU,1606863448
Springfield,37.22,-93.3,50.0,31,1,9.17,US,1606863482
Chicama,-7.84,-79.15,68.0,77,70,13.87,PE,1606863663
Atar,20.52,-13.05,76.77,23,100,4.16,MR,1606863663
Ylöjärvi,61.56,23.6,36.0,93,90,5.82,FI,1606863663
Yar-Sale,66.83,70.83,16.38,95,65,17.58,RU,1606863663
Esperance,-33.87,121.9,53.6,76,66,11.41,AU,1606863465
Samarai,-10.62,150.67,82.98,78,66,9.95,PG,1606863663
Bayangol,50.7,103.47,-1.03,88,96,1.54,RU,1606863663
Lavrentiya,65.58,-171.0,9.03,90,0,13.51,RU,1606863663
Avera,33.19,-82.53,41.0,48,1,5.82,US,1606863663
Ponta do Sol,32.67,-17.1,64.4,82,40,12.75,PT,1606863663
Hermanus,-34.42,19.23,51.01,88,46,8.7,ZA,1606863664
Mossamedes,-15.2,12.15,69.82,66,3,5.01,AO,1606863470
Tuktoyaktuk,69.45,-133.04,5.0,84,75,17.22,CA,1606863664
Vestmannaeyjar,63.44,-20.27,40.06,71,100,29.64,IS,1606863488
Waterloo,43.47,-80.52,28.4,86,90,13.87,CA,1606863664
New Norfolk,-42.78,147.06,57.0,63,14,8.01,AU,1606863664
Lebu,-37.62,-73.65,53.87,75,5,18.81,CL,1606863664
Alofi,-19.06,-169.92,84.2,74,75,16.11,NU,1606863664
Zliten,32.47,14.57,61.97,73,0,5.32,LY,1606863664
São João da Barra,-21.64,-41.05,75.76,89,91,6.22,BR,1606863664
Ndendé,-2.4,11.36,72.79,96,97,2.98,GA,1606863664
San Vicente,-26.62,-54.13,72.72,76,74,2.53,AR,1606863664
Torbay,47.67,-52.73,42.01,93,90,23.04,CA,1606863492
Albany,42.6,-73.97,46.0,52,28,9.01,US,1606863610
Antón Lizardo,19.05,-95.98,73.4,60,75,8.05,MX,1606863665
Broken Hill,-31.95,141.43,57.2,50,95,21.92,AU,1606863665
Romny,50.75,33.47,30.0,98,100,10.6,UA,1606863665
Saint-Philippe,-21.36,55.77,75.2,78,75,3.36,RE,1606863665
Leningradskiy,69.38,178.42,-4.47,85,0,4.09,RU,1606863665
Port Moresby,-9.44,147.18,78.8,94,40,6.93,PG,1606863665
Molchanovo,57.58,83.77,4.87,95,86,4.05,RU,1606863665
Jumla,29.27,82.18,40.82,60,0,3.6,NP,1606863665
Kettering,39.69,-84.17,32.0,96,90,12.75,US,1606863665
Coolum Beach,-26.53,153.1,82.99,78,8,3.0,AU,1606863616
Coyhaique,-45.58,-72.07,57.2,65,40,12.75,CL,1606863665
Nikolskoye,59.7,30.79,35.6,95,90,4.47,RU,1606863665
George Town,5.41,100.34,77.0,88,20,2.24,MY,1606863453
Zhigansk,66.77,123.37,-11.16,89,100,17.54,RU,1606863666
Pevek,69.7,170.31,-10.05,88,34,7.49,RU,1606863449
Agadez,19.75,10.25,67.33,24,12,7.43,NE,1606863666
Wanlaweyn,2.62,44.89,75.16,80,0,9.98,SO,1606863666
Bengkulu,-3.8,102.27,74.3,74,93,3.65,ID,1606863666
Río Gallegos,-51.62,-69.22,53.6,23,40,42.5,AR,1606863666
Puerto Ayora,-0.74,-90.35,72.0,90,75,1.99,EC,1606863666
Namatanai,-3.67,152.43,84.36,64,86,5.19,PG,1606863666
Bilma,18.69,12.92,66.0,23,0,10.4,NE,1606863666
Portland,45.52,-122.68,50.0,75,1,5.82,US,1606863599
Kyra,49.58,111.98,6.84,87,0,6.35,RU,1606863666
Avarua,-21.21,-159.78,82.4,74,10,14.99,CK,1606863666
Wau,7.7,28.0,74.12,25,46,3.69,SS,1606863666
Faya,18.39,42.45,55.4,87,0,4.7,SA,1606863666
Port Hardy,50.7,-127.42,44.6,75,75,14.99,CA,1606863645
